,price,action,status,net_anchor_price,end_trade_price,group_number
0,18474.1584,buy,complited,19176.0,18474.1584,0
1,17798.00420256,buy,complited,19176.0,17798.00420256,0
2,17146.597248746304,buy,complited,19176.0,17146.597248746304,0
3,16519.03178944219,buy,complited,19176.0,16519.03178944219,0
4,15914.435225948606,buy,complited,19176.0,15914.435225948606,0
5,15331.966896678887,buy,complited,19176.0,15331.966896678887,0
6,19213.124736,sell,complited,19176.0,19213.124736,0
7,18509.924370662404,sell,complited,19176.0,18509.924370662404,0
8,17832.461138696155,sell,complited,19176.0,17832.461138696155,0
9,17179.79306101988,sell,complited,19176.0,17179.79306101988,0
10,16551.01263498655,sell,complited,19176.0,16551.01263498655,0
11,15945.245572546042,sell,complited,19176.0,15945.245572546042,0
12,14657.766349141873,buy,complited,19176.0,14657.766349141873,1
13,14013.212772627063,buy,complited,19176.0,14013.212772627063,1
14,13397.002485471778,buy,complited,19176.0,13397.002485471778,1
15,12807.889133484545,buy,complited,19176.0,12807.889133484545,1
16,12244.681169054416,buy,complited,19176.0,12244.681169054416,1
17,11706.239441112722,buy,complited,19176.0,11706.239441112722,1
18,15244.077003107548,sell,complited,19176.0,15244.077003107548,1
19,14573.741283532147,sell,complited,19176.0,14573.741283532147,1
20,13932.882584890649,sell,complited,19176.0,13932.882584890649,1
21,13320.204698823927,sell,complited,19176.0,13320.204698823927,1
22,10698.225131991447,buy,complited,19176.0,10698.225131991447,2
23,10065.931643504638,buy,aborted,19176.0,0.0,2
24,9471.008377709002,buy,aborted,19176.0,0.0,2
25,8911.246655297513,buy,aborted,19176.0,0.0,2
26,12734.468415816593,sell,complited,19176.0,12734.468415816593,1
27,12174.489018757231,sell,complited,19176.0,12174.489018757231,1
28,11126.154137271105,sell,complited,19176.0,11126.154137271105,2
29,14698.101519052088,buy,complited,19176.0,14698.101519052088,1
30,14090.441866996025,buy,complited,19176.0,14090.441866996025,1
31,13507.90452425714,buy,complited,19176.0,13507.90452425714,1
32,12949.450865968216,buy,complited,19176.0,12949.450865968216,1
33,12414.085206850166,buy,complited,19176.0,12414.085206850166,1
34,11900.853025972197,buy,complited,19176.0,11900.853025972197,1
35,15286.025579814172,sell,complited,19176.0,15286.025579814172,1
36,14654.059541675866,sell,complited,19176.0,14654.059541675866,1
37,14048.220705227426,sell,complited,19176.0,14048.220705227426,1
38,13467.428900606945,sell,complited,19176.0,13467.428900606945,1
39,12910.648615124173,sell,complited,19176.0,12910.648615124173,1
40,12376.887147011086,sell,complited,19176.0,12376.887147011086,1
41,14773.535439806517,buy,complited,19176.0,14773.535439806517,1
42,14235.443558027553,buy,complited,19176.0,14235.443558027553,1
